發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,4天候,7速限,8道路型態,9事故位置
107,04,29,11,28,2,01大同區,大同區延平北路3段102號,0,1,3,C03,1,30,3,8,50,14,09
107,05,03,15,35,2,01大同區,大同區延平北路3段18巷與延平北路3段口,0,2,1,C03,1,67,2,7,50,3,02
107,05,03,15,35,2,01大同區,大同區延平北路3段18巷與延平北路3段口,0,2,2,C03,2,25,2,7,50,3,02
107,03,15,21,28,2,01大同區,大同區重慶北路2段88號,0,1,1,B03,1,41,3,6,50,14,09
107,03,15,21,28,2,01大同區,大同區重慶北路2段88號,0,1,2,C03,2,22,2,6,50,14,09
107,03,23,14,10,2,01大同區,大同區承德路3段186號,0,2,1,B03,1,54,3,8,50,14,09
107,03,23,14,10,2,01大同區,大同區承德路3段186號,0,2,2,C03,1,19,2,8,50,14,09
107,03,23,14,10,2,01大同區,大同區承德路3段186號,0,2,3,B02,1,41,3,8,50,14,09
107,03,23,14,10,2,01大同區,大同區承德路3段186號,0,2,4,H02,2,18,2,8,50,14,09
107,03,28,09,22,2,01大同區,大同區赤峰街12巷1號與赤峰街41巷口,0,1,1,C03,1,64,4,8,30,4,01
107,03,28,09,22,2,01大同區,大同區赤峰街12巷1號與赤峰街41巷口,0,1,2,C03,2,32,2,8,30,4,01
107,03,28,16,50,2,01大同區,大同區民生西路與雙連街口,0,2,1,B01,1,52,4,8,0,3,01
107,03,28,16,50,2,01大同區,大同區民生西路與雙連街口,0,2,2,C03,1,57,2,8,0,3,01
107,03,28,16,50,2,01大同區,大同區民生西路與雙連街口,0,2,3,C03,1,27,2,8,0,3,01
107,03,29,15,45,2,01大同區,大同區大稻埕堤外便道,0,1,1,B03,2,27,3,8,30,14,09
107,03,29,15,45,2,01大同區,大同區大稻埕堤外便道,0,1,2,C03,2,20,2,8,30,14,09
107,02,15,10,10,2,01大同區,大同區延平北路2段236號,0,1,1,C04,2,62,2,8,50,14,09
107,02,15,10,10,2,01大同區,大同區延平北路2段236號,0,1,2,B03,2,34,3,8,50,14,09
107,02,24,12,32,2,01大同區,大同區南京西路76號,0,1,1,C03,4,0,4,8,50,14,09
107,02,24,12,32,2,01大同區,大同區南京西路76號,0,1,2,C03,2,25,2,8,50,14,09
107,03,12,14,50,2,01大同區,大同區哈密街20巷1號,0,1,1,C03,1,26,2,8,50,14,09
107,03,12,14,50,2,01大同區,大同區哈密街20巷1號,0,1,2,B12,1,47,3,8,50,14,09
107,03,08,20,30,2,01大同區,大同區民權西路102巷與民權西路口,0,2,1,B03,1,23,3,6,40,3,01
107,03,08,20,30,2,01大同區,大同區民權西路102巷與民權西路口,0,2,2,C03,1,20,2,6,40,3,01
107,03,08,20,30,2,01大同區,大同區民權西路102巷與民權西路口,0,2,3,C03,1,35,2,6,40,3,01
107,03,08,20,30,2,01大同區,大同區民權西路102巷與民權西路口,0,2,4,C03,2,24,3,6,40,3,01
107,03,15,08,20,2,01大同區,大同區重慶北路3段236巷5弄與重慶北路3段252巷口,0,1,1,C03,1,47,3,8,40,4,01
107,03,15,08,20,2,01大同區,大同區重慶北路3段236巷5弄與重慶北路3段252巷口,0,1,2,B03,1,31,3,8,40,4,01
107,03,15,08,20,2,01大同區,大同區重慶北路3段236巷5弄與重慶北路3段252巷口,0,1,3,H02,1,9,2,8,40,4,01
107,03,16,12,00,2,01大同區,大同區延平北路2段與延平北路2段272巷口,0,1,1,C03,1,23,3,8,50,4,01
107,03,16,12,00,2,01大同區,大同區延平北路2段與延平北路2段272巷口,0,1,2,H01,2,82,2,8,50,4,01
107,03,22,17,00,2,01大同區,大同區台北橋往三重機車道,0,3,1,C03,1,24,2,8,50,8,11
107,03,22,17,00,2,01大同區,大同區台北橋往三重機車道,0,3,2,C03,1,30,2,8,50,8,11
107,03,22,17,00,2,01大同區,大同區台北橋往三重機車道,0,3,3,H02,2,17,2,8,50,8,11
107,03,23,13,50,2,01大同區,大同區延平北路4段與延平北路4段197巷口,0,1,1,B03,1,24,3,8,50,3,01
107,03,23,13,50,2,01大同區,大同區延平北路4段與延平北路4段197巷口,0,1,2,C03,1,59,2,8,50,3,01
