日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/06/06,南投,PM2.5,12,13,16,13,9,8,10,13,13,13,-9#,16,14,14,15,15,13,7,2,3,5,6,5,5
2017/06/07,南投,PM2.5,6,7,7,5,2,6,11,12,13,17,20,21,20,18,17,17,20,16,10,11,11,12,14,13
2017/06/08,南投,PM2.5,11,9,10,12,8,8,7,7,15,15,15,19,19,21,19,15,10,12,12,9,14,14,13,16
2017/06/09,南投,PM2.5,15,14,13,11,10,9,9,11,10,10,12,17,24,30,32,24,17,13,15,20,19,16,18,20
2017/06/10,南投,PM2.5,19,15,14,11,13,14,12,9,9,16,16,10,14,24,29,22,10,7,6,4,6,8,9,6
2017/06/11,南投,PM2.5,6,8,9,11,9,6,9,10,10,11,8,9,15,14,11,11,13,9,3,4,4,1,1,1
2017/06/12,南投,PM2.5,1,1,5,4,2,3,4,7,6,5,7,7,7,12,8,6,6,2,3,2,5,6,3,1
2017/06/13,南投,PM2.5,2,3,2,1,2,6,5,5,5,7,506*,5,7,9,11,11,9,8,8,5,4,2,2,3
2017/06/14,南投,PM2.5,4,10,10,7,6,4,3,1,2,2,3,2,2,2,1,1,2,2,1,1,1,1,1,1
2017/06/15,南投,PM2.5,1,1,1,1,2,3,4,2,2,4,2,2,3,1,1,3,1,3,4,1,1,3,1,1
2017/06/16,南投,PM2.5,1,1,1,1,1,1,3,2,3,2,4,10,11,9,8,5,2,3,4,4,3,2,1,1
2017/06/17,南投,PM2.5,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,6,4,1,1,1,1,1,2,4
2017/06/18,南投,PM2.5,1,1,1,1,3,8,7,5,4,3,4,2,3,3,1,1,1,2,1,1,2,3,3,1
2017/06/19,南投,PM2.5,1,1,1,1,2,1,1,7,11,8,8,6,8,11,9,8,7,7,9,11,8,6,9,9
2017/06/20,南投,PM2.5,8,9,7,4,2,4,3,3,5,4,5,5,5,7,8,7,9,8,3,5,10,12,11,10
2017/06/21,南投,PM2.5,9,8,6,6,9,12,11,10,6,3,4,5,7,8,10,11,9,8,4,4,8,5,3,5
2017/06/22,南投,PM2.5,4,4,5,9,8,5,9,9,8,6,5,5,4,5,6,8,9,7,5,6,6,6,8,6
2017/06/23,南投,PM2.5,4,5,3,6,6,5,7,7,13,12,6,-9#,7,13,12,7,8,7,6,10,12,7,7,6
2017/06/24,南投,PM2.5,7,7,4,4,8,7,6,6,6,8,11,10,10,10,11,12,12,10,6,9,9,8,8,5
2017/06/25,南投,PM2.5,4,1,1,3,1,1,6,9,4,6,5,5,5,2,9,14,17,25,26,14,13,13,9,10
2017/06/26,南投,PM2.5,7,8,9,3,3,4,4,4,4,7,7,8,11,8,10,17,17,17,15,14,14,13,11,11
2017/06/27,南投,PM2.5,12,5,4,7,5,6,6,6,6,9,10,12,18,26,29,26,20,14,18,18,15,20,20,15
2017/06/28,南投,PM2.5,17,21,25,24,15,12,12,12,14,16,20,32,33,-9#,22,23,26,38,43,30,24,19,9,11
2017/06/29,南投,PM2.5,16,11,6,9,8,6,10,15,18,23,30,38,43,40,32,24,22,15,7,6,6,8,11,13
2017/06/30,南投,PM2.5,14,10,10,9,4,6,8,8,10,12,12,13,11,15,25,26,17,4,4,7,6,6,7,10
2017/07/01,南投,PM2.5,9,5,5,6,8,6,4,6,8,11,10,8,8,7,8,8,8,4,1,1,1,2,3,4
2017/07/02,南投,PM2.5,3,1,1,5,4,1,2,2,1,7,9,11,10,6,4,2,1,1,4,6,2,2,4,1
2017/07/03,南投,PM2.5,1,2,1,1,1,1,1,1,5,3,2,3,4,6,10,10,13,12,5,5,6,5,5,2
